,strp_timestamp,Response type,BIS RP,DEFRA RP,DVLA F2D RENEW,DVLA F2D REPORT,DVLA VDL,DWP UCDS,HMRC CC,HMRC FF,HMRC PTA,HMRC SA,HMRC TE,HMRC YSP
146,2017-01-05,NEW,101.0,9.0,33.0,29.0,139.0,307.0,10.0,2.0,200.0,2295.0,16.0,146.0
147,2017-01-05,RETURNING,45.0,85.0,7.0,3.0,73.0,100.0,28.0,5.0,670.0,6740.0,51.0,131.0
148,2017-01-06,NEW,67.0,14.0,30.0,36.0,138.0,283.0,4.0,7.0,178.0,1803.0,20.0,108.0
149,2017-01-06,RETURNING,43.0,69.0,0.0,4.0,62.0,87.0,29.0,8.0,619.0,8031.0,59.0,122.0
150,2017-01-07,NEW,34.0,2.0,47.0,17.0,58.0,117.0,4.0,10.0,127.0,1412.0,5.0,83.0
151,2017-01-07,RETURNING,21.0,16.0,9.0,3.0,35.0,29.0,23.0,13.0,402.0,4876.0,23.0,93.0
152,2017-01-08,NEW,42.0,4.0,40.0,14.0,73.0,131.0,4.0,6.0,110.0,1812.0,12.0,94.0
153,2017-01-08,RETURNING,20.0,17.0,4.0,1.0,37.0,49.0,25.0,6.0,379.0,5468.0,27.0,82.0
154,2017-01-09,NEW,96.0,8.0,77.0,28.0,169.0,389.0,9.0,6.0,230.0,2875.0,18.0,140.0
155,2017-01-09,RETURNING,42.0,77.0,10.0,7.0,64.0,140.0,38.0,6.0,693.0,8114.0,56.0,159.0
156,2017-01-10,NEW,82.0,11.0,49.0,26.0,136.0,313.0,6.0,4.0,190.0,2236.0,17.0,124.0
157,2017-01-10,RETURNING,47.0,76.0,8.0,4.0,65.0,117.0,34.0,8.0,658.0,6903.0,41.0,135.0
158,2017-01-11,NEW,102.0,10.0,53.0,24.0,119.0,228.0,5.0,9.0,176.0,2073.0,11.0,134.0
159,2017-01-11,RETURNING,61.0,63.0,3.0,3.0,74.0,93.0,42.0,2.0,566.0,6301.0,41.0,141.0
